   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.221e+09  -4e+00  1.00  2.0e-01  0.0e+00  1.0e+00  1.0e+00  5.5e-01  0.0e+00  0.0e+00
   1  T 0   1.055e+09  -3e+00  0.39  2.0e-01  4.1e-04  2.0e-01  1.3e+01  3.4e-01  4.7e-03  3.5e-01
   2  T 0   8.874e+08  -3e+00  0.45  2.0e-01  4.0e-04  2.0e-01  1.4e+01  2.7e-01  1.4e-03  2.7e-01
   3  T 0   7.472e+08  -2e+00  0.33  2.0e-01  4.3e-04  2.0e-01  1.4e+01  2.6e-01  1.8e-03  2.7e-01
   4  T 0   6.290e+08  -2e+00  0.34  2.0e-01  1.3e-03  2.0e-01  1.4e+01  2.8e-01  1.5e-03  2.8e-01
   5  T 0   4.385e+08  -1e+00  0.56  2.0e-01  4.2e-04  2.0e-01  1.4e+01  2.7e-01  1.7e-03  2.7e-01
   6  T 0   3.986e+08  -1e+00  0.58  2.0e-01  3.9e-04  2.0e-01  1.2e+01  2.7e-01  1.5e-03  2.7e-01
   7  T 0   3.283e+08  -1e+00  0.68  2.0e-01  4.1e-04  2.0e-01  1.2e+01  2.7e-01  1.5e-03  2.7e-01
   8  T 0   2.985e+08  -1e+00  0.71  2.0e-01  3.8e-04  2.0e-01  1.0e+01  2.8e-01  1.5e-03  2.8e-01
   9  T 0   2.671e+08  -7e-01  0.76  2.0e-01  4.1e-04  2.0e-01  1.0e+01  3.5e-01  1.5e-03  3.5e-01
  10  T 0   2.529e+08  -7e-01  0.77  2.0e-01  3.6e-04  2.0e-01  9.4e+00  2.7e-01  1.5e-03  2.7e-01
  11  T 0   2.370e+08  -5e-01  0.79  2.0e-01  9.1e-04  2.0e-01  9.3e+00  2.7e-01  1.5e-03  2.7e-01
  12  T 0   2.264e+08  -5e-01  0.81  2.0e-01  3.7e-04  2.0e-01  8.9e+00  2.7e-01  1.7e-03  2.7e-01
  13  T 0   2.144e+08  -4e-01  0.82  2.0e-01  5.5e-04  2.0e-01  8.7e+00  2.6e-01  1.5e-03  2.6e-01
  14  T 0   2.074e+08  -4e-01  0.84  2.0e-01  4.0e-04  2.0e-01  8.3e+00  2.7e-01  1.7e-03  2.7e-01
  15  T 0   2.012e+08  -3e-01  0.83  2.0e-01  5.3e-04  2.0e-01  8.2e+00  3.3e-01  1.5e-03  3.3e-01
  16  T 0   1.977e+08  -4e-01  0.86  2.0e-01  5.2e-04  2.0e-01  8.0e+00  2.7e-01  1.5e-03  2.7e-01
  17  T 0   1.954e+08  -2e-01  0.84  2.0e-01  6.7e-04  2.0e-01  7.9e+00  3.1e-01  1.5e-03  3.1e-01
  18  T 0   1.929e+08  -3e-01  0.87  2.0e-01  5.8e-04  2.0e-01  7.8e+00  2.7e-01  1.5e-03  2.8e-01
  19  T 0   1.920e+08  -2e-01  0.85  2.0e-01  7.3e-04  2.0e-01  7.7e+00  2.7e-01  1.5e-03  2.7e-01
  20  T 0   1.901e+08  -3e-01  0.88  2.0e-01  5.8e-04  2.0e-01  7.5e+00  3.2e-01  1.5e-03  3.2e-01
  21  T 0   1.894e+08  -2e-01  0.86  2.0e-01  5.3e-04  2.0e-01  7.4e+00  2.7e-01  1.5e-03  2.7e-01
  22  T 0   1.890e+08  -3e-01  0.88  2.0e-01  6.1e-04  2.0e-01  7.3e+00  3.0e-01  1.5e-03  3.0e-01
  23  F 0   1.890e+08  -3e-01  0.88  2.0e-01  6.1e-04  0.0e+00  0.0e+00  2.7e-01  1.4e-03  2.7e-01
  23  F 1   1.889e+08  -2e-01  0.86  2.0e-01  5.8e-04  2.0e-01  7.3e+00  2.7e-01  1.2e-03  2.7e-01
  24  T 0   1.883e+08  -3e-01  0.89  2.0e-01  6.3e-04  2.0e-01  7.3e+00  2.7e-01  1.5e-03  2.7e-01
  25  F 0   1.883e+08  -3e-01  0.89  2.0e-01  6.3e-04  0.0e+00  0.0e+00  2.7e-01  1.5e-03  2.8e-01
  25  F 1   1.883e+08  -3e-01  0.89  2.0e-01  6.3e-04  0.0e+00  0.0e+00  2.8e-01  1.2e-03  2.8e-01
  25  T 2   1.826e+08  -1e-01  0.81  2.0e-01  4.9e-04  2.0e-01  6.5e+00  3.1e-01  1.2e-03  3.1e-01
  26  F 0   1.826e+08  -1e-01  0.81  2.0e-01  4.9e-04  0.0e+00  0.0e+00  2.9e-01  1.5e-03  3.0e-01
  26  F 1   1.826e+08  -1e-01  0.81  2.0e-01  4.9e-04  0.0e+00  0.0e+00  2.8e-01  1.2e-03  2.8e-01
  26  T 2   1.792e+08  -1e-01  0.82  2.0e-01  5.4e-04  2.0e-01  4.9e+00  2.7e-01  1.2e-03  2.8e-01
  27  F 0   1.792e+08  -1e-01  0.82  2.0e-01  5.4e-04  0.0e+00  0.0e+00  3.1e-01  1.4e-03  3.1e-01
  27  F 1   1.792e+08  -1e-01  0.82  2.0e-01  5.4e-04  0.0e+00  0.0e+00  2.6e-01  1.2e-03  2.7e-01
  27  F 2   1.792e+08  -1e-01  0.82  2.0e-01  5.4e-04  0.0e+00  0.0e+00  2.6e-01  1.2e-03  2.6e-01
  27  F 3   1.792e+08  -1e-01  0.82  2.0e-01  5.4e-04  0.0e+00  0.0e+00  2.6e-01  1.2e-03  2.6e-01
  27  F 4   1.791e+08  -2e-02  0.82  2.0e-01  4.9e-04  2.0e-01  5.8e+00  2.7e-01  1.2e-03  2.7e-01
  28  F 0   1.791e+08  -2e-02  0.82  2.0e-01  4.9e-04  0.0e+00  0.0e+00  2.7e-01  1.5e-03  2.7e-01
  28  F 1   1.791e+08  -2e-02  0.82  2.0e-01  4.9e-04  0.0e+00  0.0e+00  2.9e-01  1.2e-03  2.9e-01
  28  F 2   1.791e+08  -2e-02  0.82  2.0e-01  4.9e-04  0.0e+00  0.0e+00  3.1e-01  2.2e-03  3.1e-01
  28  T 3   1.785e+08  -5e-06  0.81  2.0e-01  8.3e-04  2.0e-01  4.5e+00  3.3e-01  2.7e-03  3.3e-01
  29  F 0   1.785e+08  -5e-06  0.81  2.0e-01  8.3e-04  0.0e+00  0.0e+00  2.8e-01  3.0e-03  2.8e-01
  29  F 1   1.785e+08  -5e-06  0.81  2.0e-01  8.3e-04  0.0e+00  0.0e+00  2.8e-01  2.5e-03  2.8e-01
  29  T 2   1.734e+08  -3e-06  0.82  2.0e-01  8.5e-04  2.0e-01  6.2e+00  3.3e-01  2.7e-03  3.3e-01
  30  F 0   1.734e+08  -3e-06  0.82  2.0e-01  8.5e-04  0.0e+00  0.0e+00  2.9e-01  3.0e-03  2.9e-01
  30  F 1   1.734e+08  -3e-06  0.82  2.0e-01  8.5e-04  0.0e+00  0.0e+00  2.9e-01  3.6e-03  2.9e-01
  30  F 2   1.734e+08  -3e-06  0.82  2.0e-01  8.5e-04  0.0e+00  0.0e+00  3.1e-01  2.4e-03  3.2e-01
  30  F 3   1.734e+08  -3e-06  0.82  2.0e-01  8.5e-04  0.0e+00  0.0e+00  2.7e-01  2.1e-03  2.7e-01
  30  F 4   1.734e+08  -3e-06  0.82  2.0e-01  8.5e-04  0.0e+00  0.0e+00  3.2e-01  2.2e-03  3.3e-01
  30  F 5   1.734e+08  -3e-06  0.82  2.0e-01  8.5e-04  0.0e+00  0.0e+00  2.7e-01  2.1e-03  2.7e-01
  30  F 6   1.734e+08  -3e-06  0.82  2.0e-01  8.5e-04  0.0e+00  0.0e+00  2.8e-01  2.2e-03  2.9e-01
  30  F 7   1.734e+08  -3e-06  0.82  2.0e-01  8.5e-04  0.0e+00  0.0e+00  2.7e-01  7.7e-03  2.7e-01
  30  F 8   1.734e+08  -3e-06  0.82  2.0e-01  8.5e-04  0.0e+00  0.0e+00  2.7e-01  2.4e-03  2.7e-01
  30  T 9   1.732e+08   5e-06  0.82  2.0e-01  7.9e-04  2.0e-01  3.1e+00  2.8e-01  2.5e-03  2.8e-01
  31  F 0   1.732e+08   5e-06  0.82  2.0e-01  7.9e-04  0.0e+00  0.0e+00  2.7e-01  2.9e-03  2.8e-01
  31  T 1   1.713e+08   2e-05  0.84  2.0e-01  8.0e-04  2.0e-01  6.7e+00  2.7e-01  2.8e-03  2.7e-01
  32  F 0   1.713e+08   2e-05  0.84  2.0e-01  8.0e-04  0.0e+00  0.0e+00  2.9e-01  1.8e-03  3.0e-01
  32  F 1   1.713e+08   2e-05  0.84  2.0e-01  8.0e-04  0.0e+00  0.0e+00  2.7e-01  2.5e-03  2.8e-01
  32  F 2   1.713e+08   2e-05  0.84  2.0e-01  8.0e-04  0.0e+00  0.0e+00  2.6e-01  2.8e-03  2.7e-01
  32  F 3   1.713e+08   2e-05  0.84  2.0e-01  8.0e-04  0.0e+00  0.0e+00  2.6e-01  2.4e-03  2.7e-01
  32  F 4   1.713e+08   2e-05  0.84  2.0e-01  8.0e-04  0.0e+00  0.0e+00  2.7e-01  2.5e-03  2.7e-01
  32  F 5   1.713e+08   2e-05  0.84  2.0e-01  8.0e-04  0.0e+00  0.0e+00  2.7e-01  2.4e-03  2.7e-01
  32  F 6   1.713e+08   2e-05  0.84  2.0e-01  8.0e-04  0.0e+00  0.0e+00  2.7e-01  2.1e-03  2.7e-01
  32  F 7   1.713e+08   2e-05  0.84  2.0e-01  8.0e-04  0.0e+00  0.0e+00  2.7e-01  2.2e-03  2.7e-01
  32  F 8   1.713e+08   2e-05  0.84  2.0e-01  8.0e-04  0.0e+00  0.0e+00  2.7e-01  2.2e-03  2.7e-01
