   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.305e+01   3e+01  0.00  2.0e+00  4.1e-03  1.0e+00  1.0e+00  5.5e-02  0.0e+00  0.0e+00
   1  T 0   1.210e+01   0e+00  0.00  2.0e+00  2.7e-03  2.0e+02  3.6e+02  4.4e-03  6.0e-03  1.0e-02
   2  T 0   1.167e+01   0e+00  0.00  2.0e+00  4.4e-04  3.1e+01  4.6e+01  4.4e-03  5.2e-03  9.6e-03
   3  T 0   1.165e+01   0e+00  0.00  2.0e+00  3.3e-04  1.2e+01  2.4e+01  4.3e-03  2.7e-03  7.1e-03
   4  T 0   1.163e+01   0e+00  0.00  2.0e+00  3.6e-04  2.3e+01  3.7e+01  8.8e-03  2.5e-03  1.1e-02
   5  T 0   1.160e+01   0e+00  0.00  2.0e+00  3.6e-04  4.7e+01  7.4e+01  4.5e-03  2.0e-03  6.5e-03
   6  T 0   1.153e+01   0e+00  0.00  2.0e+00  3.5e-04  8.9e+01  1.4e+02  4.3e-03  1.9e-03  6.2e-03
   7  T 0   1.144e+01   0e+00  0.25  2.0e+00  3.3e-04  9.3e+01  1.6e+02  4.3e-03  4.4e-03  8.7e-03
   8  T 0   1.136e+01   0e+00  0.25  2.0e+00  3.8e-04  1.2e+02  1.9e+02  9.0e-03  2.4e-03  1.1e-02
   9  T 0   1.126e+01   0e+00  0.38  2.0e+00  2.7e-04  1.2e+02  2.0e+02  4.5e-03  2.8e-03  7.3e-03
  10  T 0   1.123e+01   0e+00  0.50  2.0e+00  2.9e-05  1.7e+01  2.1e+01  4.3e-03  2.6e-03  6.9e-03
Total number of system evaluations: 11
