   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.353e+09  -4e+00  1.00  1.0e-01  0.0e+00  1.0e+00  1.0e+00  5.4e-01  0.0e+00  0.0e+00
   1  T 0   1.259e+09  -4e+00  0.40  1.0e-01  4.1e-04  1.0e-01  6.6e+00  2.8e-01  5.0e-03  2.9e-01
   2  T 0   1.165e+09  -3e+00  0.42  1.0e-01  4.1e-04  1.0e-01  6.7e+00  2.8e-01  1.8e-03  2.8e-01
   3  T 0   1.070e+09  -3e+00  0.38  1.0e-01  4.1e-04  1.0e-01  6.7e+00  2.7e-01  1.8e-03  2.8e-01
   4  T 0   9.742e+08  -3e+00  0.40  1.0e-01  4.1e-04  1.0e-01  6.7e+00  4.2e-01  1.9e-03  4.2e-01
   5  T 0   8.840e+08  -2e+00  0.38  1.0e-01  4.1e-04  1.0e-01  6.7e+00  2.9e-01  1.8e-03  2.9e-01
   6  T 0   8.015e+08  -2e+00  0.37  1.0e-01  4.2e-04  1.0e-01  6.8e+00  2.7e-01  1.9e-03  2.8e-01
   7  T 0   7.293e+08  -2e+00  0.34  1.0e-01  4.3e-04  1.0e-01  6.9e+00  2.8e-01  1.8e-03  2.8e-01
   8  T 0   6.520e+08  -2e+00  0.33  1.0e-01  4.3e-04  1.0e-01  7.0e+00  2.8e-01  1.9e-03  2.9e-01
   9  T 0   5.662e+08  -2e+00  0.31  1.0e-01  4.5e-04  1.0e-01  7.1e+00  2.9e-01  1.8e-03  2.9e-01
  10  T 0   4.638e+08  -1e+00  0.58  1.0e-01  4.0e-04  1.0e-01  7.2e+00  2.7e-01  1.9e-03  2.8e-01
  11  T 0   4.220e+08  -1e+00  0.58  1.0e-01  4.1e-04  1.0e-01  5.5e+00  3.0e-01  1.9e-03  3.0e-01
  12  T 0   3.803e+08  -1e+00  0.66  1.0e-01  5.5e-04  1.0e-01  5.5e+00  2.7e-01  1.8e-03  2.8e-01
  13  T 0   3.479e+08  -9e-01  0.66  1.0e-01  4.3e-04  1.0e-01  5.0e+00  2.8e-01  1.8e-03  2.8e-01
  14  T 0   3.122e+08  -8e-01  0.74  1.0e-01  5.2e-04  1.0e-01  4.9e+00  2.7e-01  1.9e-03  2.7e-01
  15  T 0   2.872e+08  -7e-01  0.74  1.0e-01  4.0e-04  1.0e-01  4.3e+00  2.6e-01  1.9e-03  2.7e-01
  16  T 0   2.626e+08  -6e-01  0.78  1.0e-01  2.5e-03  1.0e-01  4.2e+00  2.8e-01  1.9e-03  2.9e-01
  17  T 0   2.475e+08  -5e-01  0.81  1.0e-01  3.6e-04  1.0e-01  3.8e+00  2.8e-01  1.8e-03  2.8e-01
  18  T 0   2.330e+08  -4e-01  0.83  1.0e-01  1.3e-03  1.0e-01  3.6e+00  2.7e-01  1.9e-03  2.8e-01
  19  T 0   2.223e+08  -4e-01  0.85  1.0e-01  2.8e-04  1.0e-01  3.3e+00  3.2e-01  1.8e-03  3.2e-01
  20  T 0   2.136e+08  -3e-01  0.86  1.0e-01  3.5e-04  1.0e-01  3.0e+00  2.7e-01  1.8e-03  2.7e-01
  21  T 0   2.055e+08  -2e-01  0.88  1.0e-01  3.0e-04  1.0e-01  2.9e+00  2.7e-01  1.9e-03  2.7e-01
  22  T 0   1.990e+08  -2e-01  0.89  1.0e-01  2.6e-04  1.0e-01  2.7e+00  2.7e-01  1.9e-03  2.8e-01
  23  T 0   1.934e+08  -2e-01  0.89  1.0e-01  2.5e-04  1.0e-01  2.7e+00  2.8e-01  1.9e-03  2.8e-01
  24  T 0   1.880e+08  -1e-01  0.91  1.0e-01  3.5e-04  1.0e-01  2.5e+00  2.8e-01  1.9e-03  2.8e-01
  25  T 0   1.834e+08  -8e-02  0.91  1.0e-01  2.5e-04  1.0e-01  2.5e+00  3.1e-01  1.9e-03  3.1e-01
  26  T 0   1.796e+08  -5e-02  0.92  1.0e-01  3.8e-04  1.0e-01  2.5e+00  3.2e-01  2.0e-03  3.2e-01
  27  T 0   1.779e+08  -3e-02  0.92  1.0e-01  3.4e-04  1.0e-01  2.5e+00  2.8e-01  1.8e-03  2.9e-01
