   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.353e+09  -4e+00  1.00  1.0e-01  0.0e+00  1.0e+00  1.0e+00  5.3e-01  0.0e+00  0.0e+00
   1  T 0   1.353e+09  -4e+00  1.00  1.0e-01  0.0e+00  4.1e-04  1.3e-02  2.8e-01  4.6e-03  2.8e-01
   2  T 0   1.259e+09  -4e+00  0.40  1.0e-01  4.1e-04  1.0e-01  6.6e+00  2.9e-01  1.4e-03  2.9e-01
   3  T 0   1.165e+09  -3e+00  0.42  1.0e-01  4.1e-04  1.0e-01  6.6e+00  2.9e-01  1.6e-03  2.9e-01
   4  T 0   1.070e+09  -3e+00  0.38  1.0e-01  4.1e-04  1.0e-01  6.6e+00  3.1e-01  1.4e-03  3.1e-01
   5  T 0   9.742e+08  -3e+00  0.40  1.0e-01  4.1e-04  1.0e-01  6.7e+00  2.9e-01  1.4e-03  2.9e-01
   6  T 0   8.840e+08  -2e+00  0.38  1.0e-01  4.1e-04  1.0e-01  6.7e+00  2.9e-01  1.5e-03  3.0e-01
   7  T 0   8.014e+08  -2e+00  0.37  1.0e-01  4.2e-04  1.0e-01  6.5e+00  3.4e-01  1.5e-03  3.4e-01
   8  T 0   7.273e+08  -2e+00  0.34  1.0e-01  4.3e-04  1.0e-01  6.3e+00  3.6e-01  1.4e-03  3.7e-01
   9  T 0   6.534e+08  -2e+00  0.33  1.0e-01  4.4e-04  1.0e-01  6.4e+00  4.0e-01  1.5e-03  4.1e-01
  10  T 0   5.702e+08  -2e+00  0.31  1.0e-01  4.4e-04  1.0e-01  6.6e+00  3.1e-01  1.3e-02  3.2e-01
  11  T 0   4.689e+08  -1e+00  0.54  1.0e-01  4.0e-04  1.0e-01  7.0e+00  2.8e-01  1.4e-03  2.8e-01
  12  T 0   4.265e+08  -1e+00  0.57  1.0e-01  9.9e-04  1.0e-01  5.7e+00  3.3e-01  1.4e-03  3.4e-01
  13  T 0   3.859e+08  -1e+00  0.61  1.0e-01  4.5e-04  1.0e-01  5.4e+00  4.1e-01  1.4e-03  4.1e-01
  14  T 0   3.522e+08  -1e+00  0.65  1.0e-01  2.9e-03  1.0e-01  4.9e+00  4.3e-01  1.5e-03  4.3e-01
  15  T 0   3.226e+08  -9e-01  0.68  1.0e-01  4.0e-04  1.0e-01  4.5e+00  3.8e-01  1.1e-02  3.9e-01
  16  T 0   2.957e+08  -8e-01  0.72  1.0e-01  4.1e-04  1.0e-01  4.5e+00  3.3e-01  1.4e-03  3.3e-01
  17  T 0   2.736e+08  -7e-01  0.75  1.0e-01  4.0e-04  1.0e-01  4.3e+00  3.3e-01  1.4e-03  3.3e-01
  18  T 0   2.549e+08  -6e-01  0.78  1.0e-01  4.0e-04  1.0e-01  4.0e+00  2.8e-01  1.8e-03  2.8e-01
  19  T 0   2.395e+08  -5e-01  0.80  1.0e-01  3.5e-04  1.0e-01  3.8e+00  2.7e-01  1.4e-03  2.7e-01
  20  T 0   2.277e+08  -4e-01  0.84  1.0e-01  2.8e-04  1.0e-01  3.5e+00  3.0e-01  1.4e-03  3.0e-01
  21  T 0   2.189e+08  -3e-01  0.85  1.0e-01  3.0e-04  1.0e-01  3.2e+00  2.7e-01  1.4e-03  2.7e-01
