   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.353e+09  -4e+00  1.00  1.0e-01  0.0e+00  1.0e+00  1.0e+00  3.8e-01  0.0e+00  0.0e+00
   1  T 0   1.259e+09  -4e+00  0.40  1.0e-01  4.1e-04  1.0e-01  6.6e+00  2.3e-01  3.0e-03  2.3e-01
   2  T 0   1.165e+09  -3e+00  0.42  1.0e-01  4.1e-04  1.0e-01  6.7e+00  2.2e-01  1.1e-03  2.2e-01
   3  T 0   1.070e+09  -3e+00  0.38  1.0e-01  4.1e-04  1.0e-01  6.7e+00  2.1e-01  1.3e-03  2.1e-01
   4  T 0   9.742e+08  -3e+00  0.40  1.0e-01  4.1e-04  1.0e-01  6.7e+00  2.3e-01  1.1e-03  2.3e-01
   5  T 0   8.840e+08  -2e+00  0.38  1.0e-01  4.1e-04  1.0e-01  6.7e+00  2.0e-01  1.1e-03  2.0e-01
   6  T 0   8.014e+08  -2e+00  0.37  1.0e-01  4.2e-04  1.0e-01  6.8e+00  1.9e-01  1.1e-03  1.9e-01
   7  T 0   7.294e+08  -2e+00  0.34  1.0e-01  4.3e-04  1.0e-01  6.9e+00  1.9e-01  1.1e-03  1.9e-01
   8  T 0   6.522e+08  -2e+00  0.33  1.0e-01  4.3e-04  1.0e-01  7.0e+00  1.9e-01  1.2e-03  1.9e-01
   9  T 0   5.665e+08  -2e+00  0.31  1.0e-01  4.5e-04  1.0e-01  7.1e+00  1.9e-01  1.1e-03  1.9e-01
  10  T 0   4.651e+08  -1e+00  0.58  1.0e-01  4.0e-04  1.0e-01  7.2e+00  1.9e-01  1.1e-03  1.9e-01
  11  T 0   4.233e+08  -1e+00  0.58  1.0e-01  4.2e-04  1.0e-01  5.6e+00  2.4e-01  1.1e-03  2.4e-01
  12  T 0   3.825e+08  -1e+00  0.66  1.0e-01  4.3e-04  1.0e-01  5.6e+00  2.1e-01  1.1e-03  2.1e-01
  13  T 0   3.488e+08  -9e-01  0.65  1.0e-01  4.3e-04  1.0e-01  5.1e+00  2.5e-01  1.1e-03  2.5e-01
  14  T 0   3.148e+08  -8e-01  0.74  1.0e-01  4.5e-04  1.0e-01  5.0e+00  2.2e-01  1.2e-03  2.2e-01
