   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   4.248e+08   1e-02  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  3.2e-01  0.0e+00  0.0e+00
   1  T 0   1.322e+08  -3e-05  0.47  1.0e-01  8.2e-02  1.0e-01  5.7e+00  2.0e-01  4.3e-03  2.1e-01
   2  T 0   4.487e+07  -9e-06  0.46  1.0e-01  1.7e-02  1.0e-01  4.3e+00  1.8e-01  3.2e-03  1.8e-01
   3  F 0   4.487e+07  -9e-06  0.46  1.0e-01  1.7e-02  0.0e+00  0.0e+00  1.3e-01  1.5e-03  1.3e-01
   3  T 1   3.262e+07  -8e-06  0.65  1.0e-01  1.4e-02  1.0e-01  3.9e+00  1.3e-01  1.8e-03  1.4e-01
   4  T 0   1.636e+07  -6e-06  0.65  1.0e-01  4.2e-03  1.0e-01  3.6e+00  1.3e-01  1.7e-03  1.4e-01
   5  T 0   9.792e+06  -3e-04  0.74  1.0e-01  1.7e-03  1.0e-01  3.5e+00  1.3e-01  1.7e-03  1.4e-01
   6  F 0   9.792e+06  -3e-04  0.74  1.0e-01  1.7e-03  0.0e+00  0.0e+00  1.4e-01  2.6e-03  1.4e-01
   6  T 1   8.302e+06  -3e-06  0.74  1.0e-01  1.4e-03  1.0e-01  2.7e+00  1.5e-01  1.4e-03  1.5e-01
   7  F 0   8.302e+06  -3e-06  0.74  1.0e-01  1.4e-03  0.0e+00  0.0e+00  1.5e-01  1.4e-03  1.5e-01
   7  T 1   7.512e+06  -2e-05  0.78  1.0e-01  1.2e-03  1.0e-01  2.7e+00  1.5e-01  1.3e-03  1.5e-01
   8  T 0   6.282e+06  -7e-06  0.77  1.0e-01  6.7e-04  1.0e-01  2.9e+00  1.5e-01  1.9e-03  1.5e-01
   9  T 0   5.197e+06  -3e-02  0.80  1.0e-01  5.0e-04  1.0e-01  2.7e+00  1.5e-01  1.0e-03  1.5e-01
  10  F 0   5.197e+06  -3e-02  0.80  1.0e-01  5.0e-04  0.0e+00  0.0e+00  1.5e-01  1.8e-03  1.5e-01
  10  T 1   4.541e+06  -4e-06  0.80  1.0e-01  1.6e-03  1.0e-01  2.3e+00  1.5e-01  1.4e-03  1.5e-01
  11  T 0   3.929e+06  -2e-03  0.82  1.0e-01  3.3e-04  1.0e-01  2.6e+00  1.5e-01  1.0e-03  1.5e-01
  12  F 0   3.929e+06  -2e-03  0.82  1.0e-01  3.3e-04  0.0e+00  0.0e+00  1.5e-01  1.4e-03  1.5e-01
  12  T 1   3.648e+06  -4e-06  0.84  1.0e-01  3.0e-04  1.0e-01  2.1e+00  1.5e-01  1.5e-03  1.5e-01
  13  T 0   3.584e+06  -3e-02  0.86  1.0e-01  4.6e-04  1.0e-01  2.3e+00  1.4e-01  9.8e-04  1.4e-01
  14  F 0   3.584e+06  -3e-02  0.86  1.0e-01  4.6e-04  0.0e+00  0.0e+00  1.4e-01  1.8e-03  1.4e-01
  14  T 1   3.279e+06  -3e-06  0.88  1.0e-01  4.9e-04  1.0e-01  1.8e+00  1.4e-01  1.5e-03  1.4e-01
  15  F 0   3.279e+06  -3e-06  0.88  1.0e-01  4.9e-04  0.0e+00  0.0e+00  1.5e-01  1.5e-03  1.5e-01
  15  T 1   3.150e+06  -9e-06  0.89  1.0e-01  1.4e-04  1.0e-01  1.6e+00  1.6e-01  1.5e-03  1.6e-01
  16  F 0   3.150e+06  -9e-06  0.89  1.0e-01  1.4e-04  0.0e+00  0.0e+00  1.5e-01  1.5e-03  1.5e-01
  16  T 1   3.037e+06  -1e-05  0.90  1.0e-01  1.1e-04  1.0e-01  1.6e+00  1.5e-01  1.4e-03  1.5e-01
  17  F 0   3.037e+06  -1e-05  0.90  1.0e-01  1.1e-04  0.0e+00  0.0e+00  1.5e-01  1.4e-03  1.5e-01
  17  F 1   3.037e+06  -1e-05  0.90  1.0e-01  1.1e-04  0.0e+00  0.0e+00  1.5e-01  1.5e-03  1.5e-01
  17  F 2   3.037e+06  -1e-05  0.90  1.0e-01  1.1e-04  0.0e+00  0.0e+00  1.5e-01  1.3e-03  1.5e-01
  17  T 3   3.004e+06   2e-06  0.88  1.0e-01  1.2e-04  1.0e-01  3.5e-01  1.5e-01  1.1e-03  1.5e-01
  18  F 0   3.004e+06   2e-06  0.88  1.0e-01  1.2e-04  0.0e+00  0.0e+00  1.4e-01  1.4e-03  1.4e-01
  18  T 1   2.887e+06  -6e-06  0.91  1.0e-01  1.5e-04  1.0e-01  1.5e+00  1.3e-01  1.4e-03  1.4e-01
  19  F 0   2.887e+06  -6e-06  0.91  1.0e-01  1.5e-04  0.0e+00  0.0e+00  1.4e-01  1.8e-03  1.4e-01
  19  F 1   2.887e+06  -6e-06  0.91  1.0e-01  1.5e-04  0.0e+00  0.0e+00  1.5e-01  1.2e-03  1.5e-01
  19  T 2   2.881e+06  -1e-06  0.91  1.0e-01  1.8e-04  1.0e-01  8.1e-01  1.5e-01  1.2e-03  1.6e-01
  20  F 0   2.881e+06  -1e-06  0.91  1.0e-01  1.8e-04  0.0e+00  0.0e+00  1.4e-01  1.4e-03  1.4e-01
  20  T 1   2.809e+06  -1e-05  0.92  1.0e-01  2.1e-04  1.0e-01  1.4e+00  1.3e-01  1.4e-03  1.4e-01
  21  F 0   2.809e+06  -1e-05  0.92  1.0e-01  2.1e-04  0.0e+00  0.0e+00  1.6e-01  1.6e-03  1.6e-01
  21  F 1   2.809e+06  -1e-05  0.92  1.0e-01  2.1e-04  0.0e+00  0.0e+00  1.7e-01  1.3e-03  1.8e-01
  21  F 2   2.809e+06  -1e-05  0.92  1.0e-01  2.1e-04  0.0e+00  0.0e+00  1.4e-01  1.2e-03  1.4e-01
  21  T 3   2.780e+06   2e-06  0.91  1.0e-01  3.4e-04  9.0e-02  3.0e-01  1.4e-01  1.1e-03  1.4e-01
  22  T 0   2.682e+06  -5e-05  0.93  1.0e-01  1.1e-04  1.0e-01  1.6e+00  1.9e-01  1.4e-03  1.9e-01
  23  T 0   2.655e+06  -9e-08  0.94  1.0e-01  1.3e-04  1.0e-01  1.5e+00  1.6e-01  1.4e-03  1.6e-01
  24  T 0   2.636e+06  -2e-05  0.95  1.0e-01  1.2e-04  1.0e-01  1.4e+00  1.6e-01  1.7e-03  1.6e-01
  25  F 0   2.636e+06  -2e-05  0.95  1.0e-01  1.2e-04  0.0e+00  0.0e+00  1.8e-01  1.6e-03  1.8e-01
  25  F 1   2.636e+06  -2e-05  0.95  1.0e-01  1.2e-04  0.0e+00  0.0e+00  1.4e-01  1.3e-03  1.4e-01
  25  F 2   2.636e+06  -2e-05  0.95  1.0e-01  1.2e-04  0.0e+00  0.0e+00  1.4e-01  1.2e-03  1.4e-01
  25  F 3   2.636e+06  -2e-05  0.95  1.0e-01  1.2e-04  0.0e+00  0.0e+00  1.6e-01  1.1e-03  1.6e-01
  25  T 4   2.632e+06   5e-06  0.93  1.0e-01  1.2e-04  1.0e-02  3.2e-02  1.4e-01  1.1e-03  1.4e-01
  26  F 0   2.632e+06   5e-06  0.93  1.0e-01  1.2e-04  0.0e+00  0.0e+00  1.4e-01  1.6e-03  1.4e-01
  26  F 1   2.632e+06   5e-06  0.93  1.0e-01  1.2e-04  0.0e+00  0.0e+00  1.4e-01  1.3e-03  1.4e-01
  26  F 2   2.632e+06   5e-06  0.93  1.0e-01  1.2e-04  0.0e+00  0.0e+00  1.3e-01  1.2e-03  1.3e-01
  26  T 3   2.604e+06  -1e-06  0.92  1.0e-01  1.7e-04  9.0e-02  2.9e-01  1.4e-01  9.8e-04  1.4e-01
  27  F 0   2.604e+06  -1e-06  0.92  1.0e-01  1.7e-04  0.0e+00  0.0e+00  1.9e-01  1.7e-03  1.9e-01
  27  F 1   2.604e+06  -1e-06  0.92  1.0e-01  1.7e-04  0.0e+00  0.0e+00  2.0e-01  1.5e-03  2.0e-01
  27  F 2   2.604e+06  -1e-06  0.92  1.0e-01  1.7e-04  0.0e+00  0.0e+00  1.4e-01  1.3e-03  1.5e-01
  27  T 3   2.596e+06  -8e-07  0.93  1.0e-01  1.7e-04  3.9e-02  1.4e-01  1.6e-01  1.1e-03  1.6e-01
  28  F 0   2.596e+06  -8e-07  0.93  1.0e-01  1.7e-04  0.0e+00  0.0e+00  1.5e-01  1.5e-03  1.5e-01
  28  F 1   2.596e+06  -8e-07  0.93  1.0e-01  1.7e-04  0.0e+00  0.0e+00  1.4e-01  1.1e-03  1.5e-01
  28  F 2   2.596e+06  -8e-07  0.93  1.0e-01  1.7e-04  0.0e+00  0.0e+00  1.5e-01  1.1e-03  1.5e-01
  28  T 3   2.591e+06   3e-06  0.93  1.0e-01  1.6e-04  2.5e-02  1.0e-01  1.5e-01  9.9e-04  1.5e-01
  29  F 0   2.591e+06   3e-06  0.93  1.0e-01  1.6e-04  0.0e+00  0.0e+00  2.2e-01  1.4e-03  2.2e-01
  29  T 1   2.589e+06  -6e-06  0.95  1.0e-01  1.4e-04  1.0e-01  1.1e+00  1.8e-01  1.4e-03  1.8e-01
  30  F 0   2.589e+06  -6e-06  0.95  1.0e-01  1.4e-04  0.0e+00  0.0e+00  1.3e-01  1.5e-03  1.3e-01
  30  T 1   2.576e+06   1e-07  0.95  1.0e-01  7.6e-05  1.0e-01  1.1e+00  1.4e-01  1.4e-03  1.4e-01
  31  F 0   2.576e+06   1e-07  0.95  1.0e-01  7.6e-05  0.0e+00  0.0e+00  1.5e-01  1.3e-03  1.5e-01
  31  F 1   2.576e+06   1e-07  0.95  1.0e-01  7.6e-05  0.0e+00  0.0e+00  1.5e-01  1.3e-03  1.5e-01
  31  T 2   2.566e+06  -3e-05  0.96  1.0e-01  6.9e-04  1.0e-01  7.4e-01  1.5e-01  1.1e-03  1.5e-01
  32  T 0   2.548e+06  -6e-05  0.96  1.0e-01  1.4e-04  1.0e-01  1.2e+00  1.5e-01  1.4e-03  1.5e-01
  33  F 0   2.548e+06  -6e-05  0.96  1.0e-01  1.4e-04  0.0e+00  0.0e+00  1.4e-01  1.4e-03  1.5e-01
  33  F 1   2.548e+06  -6e-05  0.96  1.0e-01  1.4e-04  0.0e+00  0.0e+00  1.5e-01  1.1e-03  1.5e-01
  33  F 2   2.548e+06  -6e-05  0.96  1.0e-01  1.4e-04  0.0e+00  0.0e+00  1.5e-01  1.1e-03  1.6e-01
  33  T 3   2.533e+06   5e-07  0.94  1.0e-01  1.1e-04  7.1e-02  2.1e-01  1.4e-01  1.1e-03  1.5e-01
  34  F 0   2.533e+06   5e-07  0.94  1.0e-01  1.1e-04  0.0e+00  0.0e+00  1.4e-01  1.8e-03  1.5e-01
  34  F 1   2.533e+06   5e-07  0.94  1.0e-01  1.1e-04  0.0e+00  0.0e+00  1.5e-01  1.4e-03  1.5e-01
